alert_text,severity
"Database is down, all connections refused",P1
"payments-api pod crashlooping, 0 healthy replicas",P1
"Disk at 99% on production database, writes failing",P1
"SSL certificate expired, all HTTPS traffic failing",P1
"Redis cluster down, session data unavailable",P1
"Production deployment failed, rollback in progress",P1
"Network partition detected, pods cannot communicate",P1
"Data corruption detected in payments database",P1
"auth-service down, users cannot login",P1
"HighMemoryUsage on payments-api, memory at 95%, OOMKilled",P2
"DiskFull on logging server, disk at 88%",P2
"API response time above 2s for last 10 minutes",P2
"Replication lag on database replica above 30s",P2
"Multiple pods restarting on auth-service",P2
"Memory leak detected in payment processor worker",P2
"Queue depth growing, consumers falling behind",P2
"Error rate above 5% on checkout-service",P2
"CPU throttling on payments-api, processing slow",P2
"Certificate expires in 3 days on api.payments.com",P2
"HighCPU on auth-service, CPU at 60%",P3
"Memory usage at 70% on payments-api",P3
"Disk at 65% on application server",P3
"API response time slightly elevated at 800ms",P3
"Minor increase in error rate, below 1%",P3
"Non-critical cronjob failed, will retry",P3
"Log volume increasing on auth-service",P3
"Single pod restart on frontend-service",P3
"Cache hit rate dropped to 85%",P3
"Deployment taking longer than usual",P3
"Health check flapping on secondary instance",P3
"Error monitoring database: ""primary_db"" unavailable due to unexpected crash.",P1
High-availability endpoint is currently non-responsive.,P1
Critical services API gateway has reached 50% packet loss within 5 minutes.,P1
The application has started experiencing excessive memory usage (90%).,P1
Data processing pipeline has stopped accepting new tasks due to resource exhaustion.,P1
Primary DNS server for the service is offline and cannot be reached.,P1
"Service account ""admin_user"" password reset notifications are failing.",P1
API proxy connection timed out multiple times in the last hour.,P1
Error rate has spiked significantly for internal routing microservice.,P1
Memory monitoring shows 1 GB of RAM used by an unknown process in container A.,P1
The status API is providing incorrect data due to data mismatch with other servers.,P1
Database writes are failing due to network issues detected on write port.,P1
"API call queue exceeded maximum size limit, impacting performance severely.",P1
"Critical error ""ORA-12514"" reported for Oracle database server B.",P1
Data transfer to cloud storage S3 has been delayed for 4 consecutive hours.,P1
